"grass_date","is_cb_shop","shipping_channel_id","orders","gmv"
"2022-01-17","0","100009","884.0","1071.5574758580"
"2021-10-15","1","100001","51297.99999999998","245269.9164264504"
"2022-02-19","1","100007","1.0","1.4412940053"
"2021-06-29","1","108002","1.0","0.0000000000"
"2021-11-16","1","108001","2398.9999999999995","6443.7802333981"
"2021-11-28","1","108002","656.9999999999999","13369.1435258897"
"2022-01-17","1","108004","39.00000000000001","649.4310739817"
"2022-03-30","1","100007","2.0","16.8998917865"
"2022-04-22","0","100003","16234.000000000007","116843.5986972167"
"2022-04-30","0","100003","16072.999999999989","107454.7698076828"
"2021-11-23","1","100001","66179.00000000003","383323.6294705677"
"2021-12-17","0","100009","310.00000000000006","613.2522141838"
"2022-03-29","1","108002","576.0","11666.8953444196"
"2022-05-18","0","100003","16904.99999999999","115449.6269435600"
"2021-12-17","0","100003","10292.999999999998","63330.6772783747"
"2022-05-20","1","100001","46070.99999999996","303572.5723516393"
"2021-07-20","1","100001","32658.000000000007","138279.9739352801"
"2022-02-20","0","100009","599.0","1427.4138635824"
"2021-10-21","1","108005","2.0","93.1658990530"
"2021-08-20","1","100001","42859.00000000001","191448.9985431259"
"2021-07-12","1","100001","29927.000000000015","130202.4807893425"
"2021-12-12","1","108001","9158.000000000002","9673.9928889527"
"2021-07-13","1","108001","124.0","747.0909178946"
"2022-01-12","1","108004","16.0","240.1110558225"
"2022-05-21","1","108001","1648.0","7328.6158152631"
"2022-01-25","0","100003","20244.999999999996","100800.3836512698"
"2022-04-12","1","108001","1999.0","8555.8897336009"
"2021-11-23","1","108002","710.0","14922.7586257760"
"2022-05-14","0","100008","4.0","9.0329940140"
"2022-05-13","1","108001","1829.0","8928.1122474755"
"2021-06-11","1","100001","28919.000000000004","105981.1146751766"
"2021-11-10","1","100001","68226.99999999994","403952.9345526685"
"2022-03-30","1","108005","75.0","2623.6814362047"
"2022-05-02","1","100011","1.0","0.9776496578"
"2021-06-16","1","108002","1.0","21.0529506551"
"2021-12-19","1","100001","59808.00000000006","264201.5096720445"
"2022-04-05","0","100008","10.0","73.7030107014"
"2021-03-21","1","100001","3094.0000000000005","18228.0875420080"
"2022-01-12","0","100009","129.0","275.3652347728"
"2021-12-05","0","100008","10.0","28.9285523366"
"2022-04-24","1","108002","581.0","9687.9059342795"
"2021-08-06","0","100002","5.0","25.1547748141"
"2022-02-01","0","100007","14372.000000000004","54153.9366375433"
"2021-10-15","1","108002","394.00000000000006","7065.1218279024"
"2022-03-04","0","100007","13284.999999999995","59764.7063040875"
"2021-11-16","0","100003","11120.000000000002","57827.1641119681"
"2022-04-25","1","100007","250.0","1900.5131915944"
"2021-07-05","1","108001","172.99999999999997","1157.0778250068"
"2022-03-22","1","108005","77.0","2567.5303254203"
"2022-04-17","0","100003","14512.999999999998","108223.8801029637"
"2022-01-24","0","100007","16002.000000000002","58962.2935637994"
"2022-05-02","1","108002","429.0","8584.0528916288"
"2022-04-30","1","108005","170.0","5963.6812306113"
"2022-02-03","1","100001","64713.00000000003","313602.7099018663"
"2022-01-08","1","108002","420.0","9402.3911479296"
"2022-02-28","0","100008","11.0","40.1976898074"
"2021-12-20","0","100008","6.0","14.4222174959"
"2022-02-01","1","108002","714.0","12207.2994911392"
"2022-03-18","1","100003","6.0","18.9943312144"
"2022-05-06","1","100009","6.0","2.1332315536"
"2022-04-14","1","100001","57010.00000000002","304569.7443843956"
"2021-10-18","1","108002","440.0","8310.9099216532"
"2021-11-18","1","108002","671.0","14276.7604672877"
"2022-01-07","0","100009","16.0","18.0909090201"
"2021-06-30","1","108001","1356.0","8289.1408729965"
"2021-11-29","1","108004","15.0","188.9988850138"
"2022-05-21","0","100003","7441.0","69558.9460662912"
"2021-12-06","1","100001","77193.99999999993","329529.7550856036"
"2021-11-13","1","100001","83868.9999999999","446329.3076637268"
"2021-10-03","0","100006","1.0","27.5311203309"
"2022-04-07","1","108001","1266.0","5962.8705236082"
"2022-02-14","1","108005","10.000000000000002","439.7460074837"
"2021-11-05","1","100001","62046.999999999985","331126.3199432535"
"2022-05-20","0","100007","6345.000000000001","39996.7771779039"
"2021-06-06","1","100001","23616.00000000002","90973.6405012883"
"2022-02-08","1","108002","538.0","10384.5713512362"
"2022-04-19","1","108002","874.0","13648.0207573142"
"2022-05-08","1","108001","2472.0000000000005","7932.7206924215"
"2022-04-12","0","100003","35439.99999999998","175208.1786573292"
"2022-04-06","0","100011","87.00000000000001","273.3413670687"
"2022-01-07","1","108004","16.0","231.1344685375"
